feature,F_statistic,p_value
ret_1,10.18,5.931619348595137e-05
sma_10_dist,9.163,0.00015097698006043337
mom_5,6.037,0.0028062006610703604
ret_5,6.037,0.0028062006610703604
upper_mean_error,5.835,0.003398799664885472
volume_ratio,4.862,0.008592204511746254
volume_std,4.713,0.009914085193834543
upper_slope,3.953,0.020580752200553817
rvol_20,3.872,0.022258375958682235
mom_10,3.726,0.025634234616329916
ret_10,3.726,0.025634234616329916
atr_14,3.624,0.028307814259590853
event_atr,3.624,0.02830784642483823
atr_ratio,3.505,0.031764323832260466
ma_spread_10_50,3.057,0.04905549874150204
lower_slope,2.99,0.052365735292255675
macd_hist,2.869,0.05890100965927932
bb_pctb,2.815,0.0621019968676873
bb_width,2.75,0.06612635399153291
macd_signal,2.593,0.07706982549393637
pattern_window,2.523,0.08256988882346813
containment,2.503,0.08417098143387838
etype_ascending_triangle,2.498,0.08461089815624231
upper_touches,2.469,0.08705256425087234
sma_20_dist,2.0,0.137858983722021
lower_mean_error,1.638,0.19674189935158864
etype_multiple_bottom,1.492,0.22714307586099475
etype_symmetric_triangle,1.367,0.2569744130236002
total_touches,1.28,0.28003988593871043
etype_near_support,1.278,0.2808069131621169
macd,1.119,0.3286147504976254
etype_channel_down,1.111,0.3312159962619269
channel_width_atr,0.988,0.37410851310374016
r_lower,0.872,0.419647292514986
rsi_14,0.871,0.41998706797594987
r_upper,0.867,0.42163711004077264
etype_descending_triangle,0.754,0.47170762129238075
sma_100,0.528,0.5905038000947452
ma_spread_20_200,0.514,0.5987627354776783
entry_price,0.486,0.6157870585469581
etype_multiple_top,0.482,0.6179156508324897
sma_50,0.457,0.6335630903546892
sma_200,0.41,0.6643148989970721
sma_20,0.395,0.6741876350187432
sma_10,0.353,0.702739486782547
etype_channel_up,0.281,0.7550551347776148
obv_norm,0.248,0.7809381728685294
ret_20,0.234,0.7917134399909831
mom_20,0.234,0.7917134399909831
lower_touches,0.221,0.8018416327567663
sma_50_dist,0.142,0.8679288566529862
ma_spread_50_200,0.03,0.970285756721879
etype_near_resistance,0.026,0.9740530047394839
sma_100_dist,0.017,0.9835909021063239
sma_200_dist,0.002,0.9978667188869283
