event_type,label
channel_up,short
channel_up,short
channel_down,short
symmetric_triangle,no_trade
multiple_top,long
near_resistance,short
near_resistance,no_trade
channel_up,no_trade
near_resistance,long
channel_up,short
multiple_bottom,long
near_resistance,no_trade
multiple_bottom,long
channel_up,no_trade
channel_up,long
multiple_bottom,long
channel_up,short
multiple_bottom,short
symmetric_triangle,long
near_resistance,long
symmetric_triangle,no_trade
multiple_bottom,short
channel_down,no_trade
symmetric_triangle,long
multiple_top,long
channel_down,short
channel_down,no_trade
symmetric_triangle,short
near_support,long
symmetric_triangle,long
channel_up,no_trade
near_support,short
channel_down,long
multiple_bottom,no_trade
symmetric_triangle,short
multiple_bottom,short
channel_down,no_trade
multiple_bottom,long
channel_up,short
near_resistance,long
channel_up,no_trade
multiple_bottom,no_trade
channel_up,long
near_resistance,long
multiple_bottom,long
channel_up,short
channel_down,long
multiple_bottom,long
channel_down,long
channel_down,long
multiple_bottom,long
multiple_bottom,short
near_resistance,short
multiple_bottom,long
channel_up,no_trade
channel_down,no_trade
channel_up,long
multiple_bottom,no_trade
multiple_bottom,no_trade
near_resistance,short
ascending_triangle,short
channel_down,long
channel_down,long
near_resistance,no_trade
channel_up,short
symmetric_triangle,no_trade
near_resistance,short
multiple_bottom,no_trade
ascending_triangle,short
near_resistance,no_trade
multiple_bottom,long
channel_down,long
near_resistance,short
symmetric_triangle,short
channel_down,short
channel_down,short
multiple_top,long
channel_up,short
multiple_bottom,short
channel_up,no_trade
channel_down,no_trade
symmetric_triangle,no_trade
channel_down,long
channel_up,no_trade
channel_up,long
near_resistance,no_trade
near_resistance,long
channel_up,long
channel_up,no_trade
symmetric_triangle,no_trade
channel_down,short
multiple_bottom,no_trade
multiple_bottom,long
near_resistance,long
symmetric_triangle,no_trade
multiple_bottom,short
near_resistance,short
channel_up,long
channel_down,long
multiple_bottom,long
channel_up,long
multiple_bottom,long
near_resistance,no_trade
channel_up,long
multiple_bottom,long
channel_up,long
channel_up,short
channel_down,no_trade
channel_down,no_trade
multiple_top,short
near_resistance,no_trade
channel_up,no_trade
near_resistance,long
near_resistance,no_trade
multiple_bottom,short
channel_down,no_trade
multiple_top,short
channel_down,short
channel_down,no_trade
channel_up,short
multiple_bottom,long
multiple_bottom,short
channel_down,long
channel_up,long
symmetric_triangle,long
channel_down,long
symmetric_triangle,no_trade
multiple_top,no_trade
channel_down,no_trade
multiple_bottom,long
near_resistance,long
multiple_bottom,long
channel_up,long
multiple_bottom,long
multiple_bottom,short
channel_up,short
channel_up,short
channel_down,short
channel_down,no_trade
symmetric_triangle,no_trade
multiple_bottom,long
near_resistance,long
multiple_bottom,long
channel_up,long
multiple_bottom,short
channel_down,long
multiple_bottom,long
near_resistance,no_trade
multiple_bottom,no_trade
multiple_bottom,no_trade
channel_up,no_trade
near_resistance,long
channel_up,short
multiple_bottom,long
near_resistance,long
channel_up,no_trade
multiple_bottom,no_trade
multiple_bottom,short
channel_down,long
near_resistance,short
channel_down,short
multiple_bottom,short
symmetric_triangle,short
channel_down,no_trade
near_support,long
multiple_top,long
channel_down,short
channel_down,no_trade
multiple_top,no_trade
symmetric_triangle,long
channel_down,long
multiple_bottom,short
channel_down,short
channel_down,no_trade
multiple_top,long
multiple_bottom,long
channel_up,long
channel_up,short
symmetric_triangle,no_trade
channel_down,long
descending_triangle,long
multiple_bottom,long
channel_up,long
multiple_bottom,short
channel_up,short
channel_down,long
symmetric_triangle,short
channel_down,no_trade
near_support,long
channel_up,no_trade
channel_up,long
near_resistance,long
multiple_bottom,short
channel_up,long
channel_up,long
near_resistance,no_trade
channel_up,short
channel_down,long
near_resistance,no_trade
channel_up,no_trade
multiple_bottom,short
channel_down,no_trade
near_resistance,short
near_resistance,long
channel_up,no_trade
channel_down,no_trade
near_resistance,short
channel_down,short
channel_down,no_trade
channel_down,long
channel_down,no_trade
channel_up,no_trade
multiple_bottom,no_trade
multiple_bottom,no_trade
channel_up,no_trade
multiple_bottom,long
near_resistance,short
near_resistance,long
channel_up,no_trade
channel_up,long
near_resistance,short
